username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data,,,,,
";2018-01-29 22:20;0;3;""RT MillennialsFTW: SPOTTED: As 10:50am January 28"," 2018 (Sunday) ‘Mayon Volcano nag pakitang gilas’ # MayonVolcano # Mayon # Albay # Bicol # Philippines # Eruption pic.twitter.com/xyMoM42OtQ"";;;# # # # # #;""957981779985666049"";https://twitter.com/PepengPacool/status/957981779985666049",,,,,
";2018-01-29 19:40;4;4;""# Mayon volcano eruption: Almost 70","000 in overcrowded shelters http://str.sg/oUDY pic.twitter.com/iXFBFGfabK"";;;#;""957941541321846784"";https://twitter.com/STcom/status/957941541321846784",,,,,
";2018-01-29 17:25;0;0;""Sen @ loren_legarda Urges Authorities to Implement DRR Measures in Possible # Mayon Volcano Eruption—Pls. read: http://lorenlegarda.com.ph/legarda-urges-authorities-to-implement-drr-measures-in-possible-mayon-volcano-eruption/ …pic.twitter.com/jFcNYXVgNN"";;@;#;""957907569762189313"";https://twitter.com/ezra_benitez/status/957907569762189313",,,,,,
";2018-01-29 17:25;0;0;""Sen @ loren_legarda Urges Authorities to Implement DRR Measures in Possible # Mayon Volcano Eruption—Pls. read: http://lorenlegarda.com.ph/legarda-urges-authorities-to-implement-drr-measures-in-possible-mayon-volcano-eruption/ …pic.twitter.com/a8tpsdPIp1"";;@;#;""957907569741213696"";https://twitter.com/ivesmallari4113/status/957907569741213696",,,,,,
";2018-01-29 15:10;10;12;""In the wake of Mount # Mayon's eruption"," @ UNFPAph is helping ensure the safety and dignity of displaced women and girls http://bit.ly/2rEFo7J pic.twitter.com/m5pg3Ztqk5"";;@;#;""957873592384897024"";https://twitter.com/bjornunfpa/status/957873592384897024",,,,,
";2018-01-29 08:38;0;2;""Photo by Jire Carreon... Ang palibot ng # MayonVolcano ay peligroso sa # Uson... ingats po... Ang buong Pilipinas naman ay peligroso kay? Uson = # pyroclastic flow"," # magma # lava # eruption # mayon # volcanopic.twitter.com/BIq6HWU3UR"";;;# # # # # # # #;""957774945165062144"";https://twitter.com/jimmydomingo/status/957774945165062144",,,,,
";2018-01-29 03:23;0;0;""# Mount # Mayon - # Volcanic # Eruption in the # Philippines - # Pi... - http://bit.ly/2BABbRV - # Newspic.twitter.com/fN1JTkiAWz"";;;# # # # # # #;""957695563595767808"";https://twitter.com/Shopall3/status/957695563595767808",,,,,,
";2018-01-28 21:43;0;3;""Albay"," # Philippines The # Mayon volcano near Legazpi city spews molten lava during an eruption Photo: BM pic.twitter.com/CCNSibQkEB"";;;# #;""957610179134181376"";https://twitter.com/ODulainne/status/957610179134181376",,,,,
";2018-01-28 20:38;2;1;""Lava flows from the crater of Mount # Mayon Volcano during an eruption in Legazpi city. # Sharjah24pic.twitter.com/axkAim4Ovk"";;;# #;""957593789199200256"";https://twitter.com/sharjah24/status/957593789199200256",,,,,,
";2018-01-28 19:59;3;2;""# Moments: # Volcano # eruption makes stunning # wedding backdrop # MountMayon continues to erupt # Albay # Philippines creating emergency conditions Couple decided to use backdrop for # WeddingPhotography # Mayon # MayonVolcano # MayonVolcano2018 # MayonEruptionhttps://twitter.com/i/moments/957334347006271489 …"";;;# # # # # # # # # # # #;""957583925634744320"";https://twitter.com/tiniskwerl/status/957583925634744320",,,,,,
";2018-01-28 15:12;4;1;""Des coulées de boue mortelles menacent les résidents près du volcan du Mont # Mayon en éruption aux # Philippines # MayonVolcano par @ AFPpic.twitter.com/olUhoy5niT"";;@;# # #;""957511591448031232"";https://twitter.com/AsiaNews_FR/status/957511591448031232",,,,,,
";2018-01-28 10:55;433;1172;""SPOTTED: As 10:50am January 28"," 2018 (Sunday) ‘Mayon Volcano nag pakitang gilas’ # MayonVolcano # Mayon # Albay # Bicol # Philippines # Eruption pic.twitter.com/z4E2nvDgz8"";;;# # # # # #;""957447105131397120"";https://twitter.com/MillennialsFTW/status/957447105131397120",,,,,
";2018-01-28 09:38;0;0;""Updated Mayon Lahar Hazard Zones. This is getting very dangerous. Heavy rainfall is showing no signs of abating and we are still expecting # mayon eruption climax. # BantayMayonpic.twitter.com/a22mWGcjkP"";;;# #;""957427556503887872"";https://twitter.com/josephgallos/status/957427556503887872",,,,,,
";2018-01-28 09:15;0;0;""Mudslides are latest worry as # Mayon volcano eruption heats up"," following days of torrential rain in # Philppines.pic.twitter.com/f26K2TcEt4"";;;# #;""957421951571525632"";https://twitter.com/PlanetDiary/status/957421951571525632",,,,,
