username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data
;2018-01-11 18:33;1;4;"Yazinizda gecen"Terör saldırısının yalan olduğunu anlar anlamaz, darbecilerin emrindeki uçak ve helikopterlerin tümeni bombalamasına fırsat vermeden elebaşları 1 tuğgeneral, 2 kurmay albay, 2 yarbay, 1 binbaşı ve 4 azılı, gözü dönmüş silahlı teğmeni ikna ederek teslim alıyr"+++";;;;"951401719992340480";https://twitter.com/tankcitegmen3/status/951401719992340480
;2018-01-11 18:30;1;8;"+++Silahlik acilirken S.A'nin yaninda duran albay T.B. Gerisi alt rutbe Ekibe bak be sabaha kadar darbe yaninda ol sonra Tumen Karargahi'na operasyon duzenle saat kacta 5:30 Senin bu ekip gece napiyormus Demirag";;;;"951400911028539392";https://twitter.com/tankcitegmen3/status/951400911028539392
;2018-01-11 18:28;2;6;"Gelelim S.A'nin kendi ekibini kurmasina buna cok guldum ya...ekip tekilere bakin simdi Tankla cikan ustg. Tankla cikmayi nizamiyede bekleyen baska ustg. Tanklari disari cikaran yarbay E.Y. Sabaha kadar darbeci dedikleriyle muhabbetteki albay C.T. +++";;;;"951400330536849408";https://twitter.com/tankcitegmen3/status/951400330536849408
;2018-01-11 18:24;0;0;"hocam albay oldugunuz o akşamdan söz ediyorsunuz sanırım. terfi olduğunuz icin hepimiz duygulanmıştık";;;;"951399418410029056";https://twitter.com/syngle20/status/951399418410029056
;2018-01-11 18:21;0;1;"Bugun tam bir önüme gelen her habere her twite yorum yapan emekli albay modundayım. Eğlenceliymiş lan";;;;"951398531713073152";https://twitter.com/CilginPofuduk/status/951398531713073152
;2018-01-11 18:18;0;0;"Albay has chili ice cream and laing Albay has Mayon Volcano Albay has Kawa-kawa Albay has Ligñon Hill Nature Park Albay is the home of the last general to surrender during Spanish era (Gen. Simeon Ola) Albay has Legazpi, administrative capital of Region V Mga orag-oragon! https://twitter.com/jularocio_/status/950679244400607232 …";;;;"951397888868827136";https://twitter.com/midnightsun2908/status/951397888868827136
;2018-01-11 18:09;0;0;"Naglecture si Madam. @Daraga, Albay https://www.instagram.com/p/Bdziew5Hir1/";;@Daraga;;"951395590440718337";https://twitter.com/vjmazo03/status/951395590440718337
;2018-01-11 18:06;0;1;"hays, paka tusok naman sa Albay";;;;"951394845024649216";https://twitter.com/JesseyyJei/status/951394845024649216
;2018-01-11 18:04;0;0;"# bedelliaskerlik bekleyenler 24 saat sonra albay oluyormus ayrica";;;#;"951394318866178048";https://twitter.com/Kemalozenir35/status/951394318866178048
;2018-01-11 17:58;4;25;"Oğulcak ve Ilıcak köylerine giden Vali Ustaoğlu, Tuğgeneral Recep Yalçınkaya, Tuğgeneral Tamer Atay ve Albay Erhan Demir’den operasyonlar hakkında bilgi aldı. pic.twitter.com/vCprUBcpnU";;;;"951392905515732992";https://twitter.com/BitlisValiligi/status/951392905515732992
;2018-01-11 17:53;0;0;"natatawa parin ako kay albay bibili kasi ng am79";;;;"951391573257814017";https://twitter.com/__riichmoond/status/951391573257814017
;2018-01-11 17:50;0;0;"# Suriye # Önemli Esed rejimi bir albayını daha kaybetti. Albay Muhammed Nureddin Nasr, bugün # İdlip'teki çatışmalarda öldürüldü.pic.twitter.com/mMfRMhQQMY";;;# # #;"951390887023726593";https://twitter.com/444_selim/status/951390887023726593
;2018-01-11 17:42;0;0;"Oksijen israfısın bilgi olmayınca akıl susar dil konuşur senin gibi bide profile emekli p. Albay yazmış yazık";;;;"951388962702151680";https://twitter.com/53HuseyinYZC/status/951388962702151680
;2018-01-11 17:34;0;0;"I'm at Dunkin' Donuts in Legazpi City, Albay https://www.swarmapp.com/c/6mENvYlYBUa";;;;"951386782943367168";https://twitter.com/nazaspra/status/951386782943367168
